moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2014-03,732.0,40.0,230.0,630.0,530.0,352.0,366.0,96.0,3.0,344.0,22.0,1870.0,86.0,1859.0,441.0,26.0
2014-04,643.0,22.0,215.0,571.0,451.0,341.0,318.0,81.0,,230.0,19.0,1637.0,64.0,1567.0,366.0,27.0
2014-05,755.0,11.0,189.0,717.0,608.0,380.0,365.0,93.0,3.0,278.0,9.0,1750.0,79.0,1821.0,375.0,13.0
2014-06,1258.0,14.0,254.0,1082.0,760.0,526.0,533.0,174.0,1.0,460.0,54.0,3260.0,71.0,3275.0,705.0,22.0
2014-07,643.0,5.0,137.0,520.0,354.0,351.0,315.0,95.0,,306.0,22.0,1530.0,73.0,1773.0,332.0,9.0
2014-08,686.0,15.0,137.0,609.0,422.0,365.0,280.0,95.0,,231.0,16.0,1680.0,69.0,1821.0,391.0,14.0
2014-09,656.0,10.0,216.0,606.0,399.0,395.0,340.0,118.0,2.0,258.0,14.0,1941.0,70.0,2013.0,489.0,13.0
2014-10,717.0,17.0,143.0,655.0,437.0,420.0,319.0,139.0,1.0,280.0,22.0,2062.0,65.0,1926.0,397.0,13.0
2014-11,643.0,57.0,174.0,649.0,469.0,357.0,273.0,148.0,1.0,219.0,29.0,1859.0,83.0,1876.0,394.0,17.0
2014-12,1025.0,15.0,254.0,840.0,698.0,613.0,486.0,215.0,,399.0,42.0,2867.0,158.0,3193.0,564.0,39.0
2015-01,386.0,1.0,134.0,326.0,255.0,283.0,273.0,110.0,1.0,178.0,24.0,1076.0,69.0,1194.0,242.0,11.0
2015-02,460.0,5.0,210.0,380.0,321.0,284.0,273.0,97.0,1.0,216.0,15.0,1237.0,80.0,1559.0,289.0,10.0
2015-03,769.0,11.0,185.0,630.0,641.0,516.0,366.0,189.0,,311.0,22.0,2102.0,101.0,2539.0,523.0,23.0
2015-04,708.0,10.0,153.0,535.0,419.0,479.0,391.0,166.0,13.0,216.0,30.0,1858.0,100.0,1987.0,440.0,20.0
2015-05,898.0,9.0,231.0,747.0,558.0,552.0,449.0,166.0,23.0,288.0,33.0,1968.0,93.0,2557.0,390.0,37.0
2015-06,1426.0,43.0,271.0,1112.0,918.0,711.0,573.0,238.0,41.0,615.0,40.0,3315.0,207.0,4364.0,814.0,87.0
2015-07,711.0,2.0,162.0,735.0,519.0,414.0,409.0,131.0,3.0,287.0,27.0,1799.0,101.0,2372.0,468.0,20.0
2015-08,757.0,16.0,233.0,769.0,547.0,429.0,356.0,104.0,1.0,384.0,24.0,1697.0,93.0,2287.0,430.0,24.0
2015-09,1010.0,10.0,186.0,725.0,650.0,517.0,367.0,129.0,1.0,378.0,17.0,1764.0,140.0,2828.0,532.0,38.0
2015-10,902.0,17.0,255.0,781.0,583.0,536.0,444.0,204.0,3.0,360.0,24.0,1896.0,126.0,2618.0,452.0,39.0
2015-11,740.0,9.0,233.0,688.0,484.0,546.0,295.0,118.0,1.0,288.0,8.0,1935.0,96.0,2777.0,460.0,22.0
2015-12,1279.0,15.0,349.0,1207.0,852.0,936.0,571.0,235.0,17.0,482.0,27.0,3066.0,239.0,4457.0,691.0,52.0
2016-01,568.0,7.0,112.0,662.0,364.0,315.0,238.0,168.0,7.0,258.0,13.0,1153.0,68.0,1859.0,252.0,7.0
2016-02,704.0,8.0,139.0,655.0,554.0,460.0,326.0,128.0,16.0,283.0,8.0,1595.0,105.0,2036.0,396.0,22.0
2016-03,1475.0,21.0,335.0,1176.0,1074.0,773.0,632.0,256.0,37.0,673.0,30.0,2835.0,193.0,4437.0,755.0,40.0
2016-04,626.0,7.0,155.0,726.0,570.0,369.0,339.0,182.0,15.0,365.0,10.0,1651.0,113.0,2493.0,420.0,13.0
2016-05,590.0,12.0,152.0,718.0,590.0,318.0,365.0,162.0,29.0,286.0,20.0,1829.0,121.0,2727.0,435.0,27.0
2016-06,1085.0,18.0,412.0,1196.0,726.0,599.0,510.0,192.0,4.0,507.0,27.0,3085.0,228.0,4639.0,672.0,31.0
2016-07,682.0,12.0,123.0,700.0,537.0,326.0,229.0,99.0,5.0,340.0,28.0,1616.0,138.0,2913.0,389.0,12.0
2016-08,680.0,13.0,244.0,685.0,671.0,464.0,308.0,124.0,5.0,579.0,15.0,2011.0,285.0,3358.0,423.0,17.0
